af,ip_src,ip_dest,asn_src,asn_dest,timestamp,rtt_min
4,100.36.177.74,185.244.192.10,701,197540,1602022526,95.96653
4,38.142.218.114,185.244.192.10,174,197540,1602022713,99.018855
4,100.36.177.74,185.244.192.10,701,197540,1602022769,96.201425
4,38.142.218.114,185.244.192.10,174,197540,1602022961,98.953575
4,100.36.177.74,185.244.192.10,701,197540,1602023006,96.114125
4,38.142.218.114,185.244.192.10,174,197540,1602023196,99.240375
4,100.36.177.74,185.244.192.10,701,197540,1602023238,96.026065
4,38.142.218.114,185.244.192.10,174,197540,1602023441,98.92479
4,100.36.177.74,185.244.192.10,701,197540,1602023488,95.866185
4,38.142.218.114,185.244.192.10,174,197540,1602023670,98.93692
4,100.36.177.74,185.244.192.10,701,197540,1602023722,95.970185
4,38.142.218.114,185.244.192.10,174,197540,1602023914,98.986525
4,100.36.177.74,185.244.192.10,701,197540,1602023971,96.83582
4,38.142.218.114,185.244.192.10,174,197540,1602024160,95.7624
4,100.36.177.74,185.244.192.10,701,197540,1602024202,96.272505
4,38.142.218.114,185.244.192.10,174,197540,1602024401,95.77093
4,100.36.177.74,185.244.192.10,701,197540,1602024449,96.389245
4,38.142.218.114,185.244.192.10,174,197540,1602024639,95.81689
4,100.36.177.74,185.244.192.10,701,197540,1602024686,96.010505
4,38.142.218.114,185.244.192.10,174,197540,1602024877,95.777435
4,100.36.177.74,185.244.192.10,701,197540,1602024927,95.988875
4,38.142.218.114,185.244.192.10,174,197540,1602025120,95.797925
4,100.36.177.74,185.244.192.10,701,197540,1602025163,96.79245
4,206.196.178.150,78.47.56.73,10886,24940,1602021608,93.532719
4,63.218.125.154,78.47.56.73,3491,24940,1602021637,92.023706
4,204.9.93.238,78.47.56.73,16409,24940,1602021631,86.405293
4,192.0.46.157,78.47.56.73,16876,24940,1602021816,88.685563
4,192.136.136.221,78.47.56.73,10745,24940,1602021813,86.836824
4,206.196.178.150,78.47.56.73,10886,24940,1602021858,93.611414
4,63.218.125.154,78.47.56.73,3491,24940,1602021875,92.056662
4,204.9.93.238,78.47.56.73,16409,24940,1602021878,86.477019
4,192.0.46.157,78.47.56.73,16876,24940,1602022060,88.486447
4,192.136.136.221,78.47.56.73,10745,24940,1602022052,86.771542
4,206.196.178.150,78.47.56.73,10886,24940,1602022098,93.587263
4,63.218.125.154,78.47.56.73,3491,24940,1602022124,92.040036
4,204.9.93.238,78.47.56.73,16409,24940,1602022111,86.353694
4,192.0.46.157,78.47.56.73,16876,24940,1602022290,88.419696
4,192.136.136.221,78.47.56.73,10745,24940,1602022297,86.99841
4,206.196.178.150,78.47.56.73,10886,24940,1602022331,93.62287
4,63.218.125.154,78.47.56.73,3491,24940,1602022357,92.073342
4,204.9.93.238,78.47.56.73,16409,24940,1602022357,86.359345
4,192.0.46.157,78.47.56.73,16876,24940,1602022530,88.799737
4,192.136.136.221,78.47.56.73,10745,24940,1602022542,86.362428
4,206.196.178.150,78.47.56.73,10886,24940,1602022567,93.458677
4,63.218.125.154,78.47.56.73,3491,24940,1602022603,91.975338
4,204.9.93.238,78.47.56.73,16409,24940,1602022597,85.73185
4,192.0.46.157,78.47.56.73,16876,24940,1602022771,88.9287
4,192.136.136.221,78.47.56.73,10745,24940,1602022777,86.947766
4,206.196.178.150,78.47.56.73,10886,24940,1602022810,93.466248
4,63.218.125.154,78.47.56.73,3491,24940,1602022833,92.09894
4,204.9.93.238,78.47.56.73,16409,24940,1602022831,86.399198
4,192.0.46.157,78.47.56.73,16876,24940,1602023009,88.649149
4,192.136.136.221,78.47.56.73,10745,24940,1602023022,86.908218
4,206.196.178.150,78.47.56.73,10886,24940,1602023045,93.640729
