prb_id,address_v4,address_v6,asn_v4,asn_v6,msm_url
1001160,159.69.41.15,,24940,,https://atlas.ripe.net/api/v2/probes/1001160/measurements/?format=json
1001201,93.104.107.192,2001:a61:5b7:f901:e321:f041:7b64:32fb,8767,8767,https://atlas.ripe.net/api/v2/probes/1001201/measurements/?format=json
1001219,164.68.113.190,2a02:c207:2028:7799:7e00::5,51167,51167,https://atlas.ripe.net/api/v2/probes/1001219/measurements/?format=json
1001242,151.34.117.177,,1267,,https://atlas.ripe.net/api/v2/probes/1001242/measurements/?format=json
1001419,94.130.104.77,2a01:4f8:c0c:d15c:8000:0:fa11:a5,24940,24940,https://atlas.ripe.net/api/v2/probes/1001419/measurements/?format=json
1001484,79.42.122.100,fd38:8e5f:1275::1,3269,,https://atlas.ripe.net/api/v2/probes/1001484/measurements/?format=json
1001500,,,1267,,https://atlas.ripe.net/api/v2/probes/1001500/measurements/?format=json
1001516,82.49.66.13,2001:470:26:3d2::1,3269,6939,https://atlas.ripe.net/api/v2/probes/1001516/measurements/?format=json
1001538,185.170.112.150,2a03:4000:15:71::2,197540,197540,https://atlas.ripe.net/api/v2/probes/1001538/measurements/?format=json
1001590,79.3.182.30,,3269,,https://atlas.ripe.net/api/v2/probes/1001590/measurements/?format=json
1001610,94.33.54.6,,8612,,https://atlas.ripe.net/api/v2/probes/1001610/measurements/?format=json
1001767,128.116.212.200,,35612,,https://atlas.ripe.net/api/v2/probes/1001767/measurements/?format=json
1001860,37.160.34.1,,29447,,https://atlas.ripe.net/api/v2/probes/1001860/measurements/?format=json
1002002,79.226.4.53,2003:c2:3f4b:6500:40e5:3f30:7d6b:66e4,3320,3320,https://atlas.ripe.net/api/v2/probes/1002002/measurements/?format=json
1002098,207.180.205.248,2a02:c207:2053:1648:fe00:242:ac11:2,51167,51167,https://atlas.ripe.net/api/v2/probes/1002098/measurements/?format=json
1002153,188.68.59.254,2a03:4000:6:f070::1,197540,197540,https://atlas.ripe.net/api/v2/probes/1002153/measurements/?format=json
